,,,,,,,,,
,Table 1,,,,,,,,
,"Top 100 names for baby girls, 2006",,,,,,,,England and Wales
,,Places 1 - 50,,,,,Places 51 - 100,,
,,,,Change in rank,,,,,Change in rank
,,Name,Count, since 2005,,,Name,Count, since 2005
,,,,,,,,,
,1,GRACE ,5026,+6,,51.0,LOLA ,1101,+39
,2,OLIVIA ,4961,+2,,52.0,LIBBY ,1100,-4
,3,JESSICA ,4908,-2,,53.0,MAISIE ,1065,+5
,4,RUBY ,4511,+8,,54.0,ISOBEL ,1047,-3
,5,EMILY ,4474,-3,,55.0,BROOKE ,1020,+16
,6,SOPHIE ,4309,-3,,56.0,TIA ,1008,-3
,7,CHLOE ,4031,-1,,57.0,ALISHA ,986,-
,8,LUCY ,3506,-,,58.0,SARAH ,976,-2
,9,LILY ,3407,+7,,59.0,GRACIE ,973,+27
,10,ELLIE ,3339,-5,,60.0,AVA ,966,+22
,11,ELLA ,3286,-1,,61.0,FAITH ,952,+8
,12,CHARLOTTE ,3233,-3,,62.0,SUMMER ,937,+4
,13,KATIE ,3068,-2,,63.0,NIAMH ,932,-13
,14,MIA ,2975,+4,,64.0,EVE ,930,-9
,15,HANNAH ,2946,-1,,65.0,AIMEE ,918,-16
,16,AMELIA ,2907,-1,,66.0,COURTNEY ,910,-8
,17,MEGAN ,2827,-4,,67.0,MADDISON ,881,-4
,18,HOLLY ,2329,+1,,68.0,ROSIE ,880,-7
,19,AMY ,2318,-2,,69.0,SIENNA ,870,+1
,20,ISABELLA ,2306,+4,,70.0,MATILDA ,848,+19
,21,EVIE ,2239,+7,,71.0,LILLY ,842,+3
,22,MILLIE ,2210,-1,,72.0,MADELEINE ,822,-8
,23,ABIGAIL ,2147,-3,,73.0,SHANNON ,820,-12
,24,FREYA ,2067,+7,,74.0,ZOE ,799,-7
,25,MOLLY ,1995,-3,,75.0,EVA ,790,+1
,26,DAISY ,1990,+2,,76.0,SKYE ,775,+12
,27,EMMA ,1989,-4,,77.0,NICOLE ,772,-9
,28,ERIN ,1985,+4,,78.0,AMELIE ,751,+5
,29,ISABELLE ,1945,+1,,79.0,MAYA ,735,+19
,30,POPPY ,1794,+5,,80.0,ABBIE ,727,-27
,31,JASMINE ,1750,+10,,80.0,ZARA ,727,+5
,32,PHOEBE ,1634,+4,,82.0,HARRIET ,720,-9
,33,KEIRA ,1622,+4,,83.0,HOLLIE ,718,-6
,34,LEAH ,1592,-9,,84.0,RACHEL ,684,-5
,35,CAITLIN ,1581,-9,,85.0,FRANCESCA ,677,-10
,36,REBECCA ,1575,-3,,86.0,LYDIA ,652,-2
,37,GEORGIA ,1559,-3,,87.0,ALICIA ,646,-15
,38,LAUREN ,1512,-11,,88.0,SOFIA ,630,+8
,39,AMBER ,1494,-1,,89.0,ALEXANDRA ,602,-2
,40,MADISON ,1490,-1,,90.0,LAYLA ,599,+7
,41,ELIZABETH ,1476,+1,,91.0,NATASHA ,585,-11
,42,ELEANOR ,1388,+1,,92.0,MOLLIE ,582,-11
,43,BETHANY ,1371,-3,,93.0,ISLA ,575,+32*
,44,SCARLETT ,1283,+2,,94.0,MORGAN ,571,-3
,45,ISABEL ,1281,+2,,95.0,DEMI ,562,-17
,46,PAIGE ,1266,-1,,96.0,MARTHA ,539,+14*
,47,ALICE ,1180,-3,,96.0,TILLY ,539,-1
,48,IMOGEN ,1176,+17,,98.0,LARA ,528,+7*
,49,SOPHIA ,1137,+11,,98.0,TEGAN ,528,+5*
,50,ANNA ,1130,+2,,100.0,ELOISE ,527,-7
,,,,,,,,,
,,,,,,,,,
,Notes:,,,,,,,,
,These rankings have been produced using the exact spelling of the name given at birth registration. Similar names with different spellings have been counted separately.,,,,,,,,
,"Births where the name was not stated have been excluded from these figures. Of the 327,172 baby girls in the 2006 dataset, 7 were excluded for this reason.",,,,,,,,
,The sum of the counts for individual names appearing in Table 2 and Table 3 may not equal the count in Table 1. This is because births where the usual residence of ,,,,,,,,
,mother was not stated at the time of registration have been excluded from the counts in Table 2 and Table 3.,,,,,,,,
,* denotes new entry to top 100,,,,,,,,
,,,,,,,,,
,Source: Office for National Statistics (ONS),,,,,,,,
