,,,,,,,,,
,Table 1,,,,,,,,
,"Top 100 names for baby boys, 2006",,,,,,,,England and Wales
,,Places 1 - 50,,,,,Places 51 - 100,,
,,,,Change in rank,,,,,Change in rank
,,Name,Count, since 2005,,,Name,Count, since 2005
,,,,,,,,,
,1,JACK ,7804,-,,51.0,BRADLEY ,1409,-12
,2,THOMAS ,6616,+1,,52.0,TOBY ,1388,-4
,3,JOSHUA ,6519,-1,,53.0,BRANDON ,1357,-6
,4,OLIVER ,5898,+1,,54.0,LOUIS ,1350,-11
,5,HARRY ,5639,+4,,55.0,ISAAC ,1333,-2
,6,JAMES ,5411,-2,,56.0,REECE ,1311,-
,7,WILLIAM ,4886,+1,,57.0,ALEX ,1293,-4
,8,DANIEL ,4844,-2,,58.0,KIERAN ,1274,-8
,8,SAMUEL ,4844,-1,,59.0,FINLAY ,1262,-2
,10,CHARLIE ,4734,+2,,60.0,FINLEY ,1242,+4
,11,JOSEPH ,4279,-1,,61.0,LOGAN ,1232,+16
,12,BENJAMIN ,4188,-1,,62.0,MASON ,1230,-2
,13,CALLUM ,3937,+1,,63.0,KAI ,1213,+3
,14,GEORGE ,3787,+3,,64.0,RILEY ,1187,+10
,15,JAKE ,3747,+1,,65.0,FREDDIE ,1129,+14
,16,ALFIE ,3702,+7,,66.0,JAYDEN ,1125,+18
,17,LUKE ,3475,-4,,67.0,DAVID ,1112,-6
,18,ETHAN ,3400,-,,68.0,HARLEY ,1092,+2
,18,MATTHEW ,3400,-3,,69.0,KIAN ,1043,-6
,20,MOHAMMED ,3239,-,,70.0,MOHAMMAD ,1033,-2
,21,LEWIS ,3238,-2,,71.0,BAILEY ,990,-9
,22,JACOB ,3193,-1,,72.0,SAM ,952,-5
,23,DYLAN ,3103,+1,,73.0,JOHN ,905,-1
,24,ALEXANDER ,3059,-2,,74.0,JOEL ,897,-5
,25,RYAN ,2761,-,,75.0,ROBERT ,890,-2
,26,ADAM ,2674,-,,76.0,LEON ,884,-1
,27,TYLER ,2353,+2,,77.0,ELLIS ,876,+10
,28,HARVEY ,2325,-1,,78.0,JOE ,844,-13
,29,MAX ,2248,+2,,79.0,TAYLOR ,839,+6
,30,CAMERON ,2096,+4,,80.0,COREY ,834,+11
,31,JAMIE ,2068,+2,,81.0,LUCA ,826,+2
,32,LIAM ,2063,-4,,82.0,BILLY ,825,-11
,33,LEO ,2047,+4,,83.0,CHRISTOPHER ,824,-7
,34,OWEN ,1965,+2,,84.0,ASHTON ,817,+37*
,35,CONNOR ,1951,-5,,85.0,EVAN ,813,+12
,36,HARRISON ,1926,+3,,86.0,AIDAN ,804,-8
,37,NATHAN ,1894,-2,,87.0,ELLIOT ,786,-5
,38,BEN ,1845,-6,,88.0,MORGAN ,772,-8
,39,HENRY ,1798,+5,,89.0,HAYDEN ,769,+12*
,40,ARCHIE ,1739,-2,,90.0,JAY ,756,-9
,41,MICHAEL ,1666,+1,,91.0,THEO ,751,+27*
,42,EDWARD ,1659,+4,,92.0,DOMINIC ,734,-6
,43,MUHAMMAD ,1636,+9,,93.0,ZACHARY ,727,+2
,44,AARON ,1620,+1,,94.0,SEBASTIAN ,715,-5
,45,KYLE ,1565,-4,,95.0,SEAN ,714,-1
,46,OSCAR ,1523,+9,,96.0,ANDREW ,681,-8
,47,NOAH ,1511,+4,,97.0,REUBEN ,680,+5*
,48,LUCAS ,1493,+10,,98.0,GABRIEL ,658,-2
,49,RHYS ,1451,+10,,99.0,FREDERICK ,619,-1
,50,CHARLES ,1443,-1,,100.0,EWAN ,594,-10
,,,,,,,,,
,,,,,,,,,
,Notes:,,,,,,,,
,These rankings have been produced using the exact spelling of the name given at birth registration. Similar names with different spellings have been counted separately.,,,,,,,,
,"Births where the name was not stated have been excluded from these figures. Of the 342,429 baby boys in the 2006 dataset, 20 were excluded for this reason.",,,,,,,,
,The sum of the counts for individual names appearing in Table 2 and Table 3 may not equal the count in Table 1. This is because births where the usual residence of ,,,,,,,,
,mother was not stated at the time of registration have been excluded from the counts in Table 2 and Table 3.,,,,,,,,
,* denotes new entry to top 100,,,,,,,,
,,,,,,,,,
,Source: Office for National Statistics (ONS),,,,,,,,
