This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[note 1] refers to cell B7 and [note 4] refers to cell D7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Rank,Name,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,8,Oscar,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,9,Archie,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,10,Jack,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,All ranks,All names,26786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1,Oliver,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2,Noah,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3,George,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4,Leo,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,5,Arthur,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,6,Muhammad,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,7,Oscar,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,8,Harry,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,9,Henry,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,10,Archie,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,All ranks,All names,28233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1,Noah,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2,Leo,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3,Oliver,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,4,George,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,5,Arthur,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,6,Muhammad,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,7,Freddie,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,8,Oscar,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,9,Archie,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,10,Jack,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,All ranks,All names,27706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1,George,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2,Oliver,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3,Noah,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,4,Muhammad,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,5,Arthur,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,6,Oscar,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,7,Leo,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,8,Archie,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,9,Harry,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,10,Freddie,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,10,Henry,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,All ranks,All names,28229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1,Oliver,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2,Noah,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
